date,total_sun_per_day,mean_wind_per_day,mean_wind_direction_per_day,mean_temperature_per_day,mean_rain_per_day,mean_pressure_per_day,total_sun_3to4pm,mean_wind_direction_9to10am,mean_wind_9to10am,mean_humidity_9to10am,mean_pressure_9to10am
2021-03-26,2.61,2.1073404010140586,217.69751094722287,6.328324498732427,0.00038603364830606143,1006.3465314588616,0.09,193.67127071823205,3.361878453038674,50.85690607734806,1005.1361878453039
2021-03-27,4.0200000000000005,1.691116488074663,233.92303260744325,5.137550409033298,0.0,1015.7215693052195,0.03,255.97783933518005,2.095290858725762,41.31218836565097,1017.8650969529084
2021-03-28,0.0,2.917380759902991,210.61080956230512,8.277861184894329,0.0,1016.9615660006929,0.0,211.72099447513813,2.674238227146814,72.58781163434902,1017.2204986149584
2021-03-29,4.35,1.3044039658750288,207.167396818077,9.929709476596727,0.0,1021.2275997233112,1.01,209.26944444444445,1.3146408839779007,54.802762430939225,1022.0712707182322
2021-03-30,9.719999999999999,0.10072597372666513,186.17054620880387,11.754413459322425,0.0,1022.029453791196,1.01,173.16897506925207,0.3411602209944751,22.955248618784534,1021.1895027624308
2021-03-31,0.26,0.012344541685859052,173.84143251957624,13.431943804698296,0.0,1015.9065062183325,0.0,178.63259668508286,0.0776243093922652,47.19198895027624,1014.6983425414365
2021-04-01,0.0,1.0481852748012443,62.42458808618505,6.484295425740293,0.0,1020.9484041940317,0.0,54.18836565096953,1.1941988950276243,67.94558011049723,1021.7491712707183
2021-04-02,3.0600000000000005,0.8418845755097338,53.45697500287985,4.453208155742426,0.0,1025.4845755097338,0.7,53.16111111111111,1.7417127071823204,52.64364640883978,1025.8375690607734
2021-04-03,1.93,0.5539453979956226,69.16403640133625,3.8994585877203085,0.0,1026.8729063471949,0.22999999999999998,53.3601108033241,0.5748618784530387,51.53839779005525,1026.7624309392265
2021-04-04,11.489999999999998,0.5559870923130114,242.1780569321194,5.792866197994698,0.0,1020.3414889938919,1.01,250.36187845303868,1.3941988950276245,37.24116022099447,1017.9759668508287
2021-04-05,6.4399999999999995,2.204093634686347,270.9407287822878,2.9887338560885612,0.0,1015.2385954797047,1.02,77.06629834254143,3.2113259668508287,18.866022099447513,1016.6558011049724
2021-04-06,4.39,1.315387275242047,290.6415398801291,0.32822729368372516,0.0,1016.6257146150301,0.39999999999999997,289.41160220994476,1.7988950276243094,36.67872928176795,1014.9030386740333
2021-04-07,0.0,0.5867020050702928,282.8611431205347,0.5584581700852731,0.0,1019.0269071214566,0.0,273.939226519337,1.3867403314917126,43.97044198895028,1019.4212707182319
2021-04-08,0.99,0.8607768556938682,222.52408944213923,5.1288612263716,0.0,1016.0172775472569,0.0,224.8011049723757,2.145580110497238,52.197237569060775,1014.5773480662983
2021-04-09,3.11,0.38598755473611435,184.31758469693477,5.174936621341323,0.0,1009.7391103941001,0.0,254.79005524861878,0.3494475138121547,77.95469613259668,1009.2690607734808
2021-04-10,0.0,0.23327953890489914,102.64230547550433,2.4444610951008645,0.0005118155619596543,1010.279469740634,0.0,50.48342541436464,0.2961325966850829,86.54088397790056,1009.9168508287291
2021-04-11,4.460000000000001,0.26629019246283275,220.3800852829319,1.1239598939725715,0.00010026506857208713,1015.9208712688718,0.67,275.8337950138504,0.8292817679558012,42.58674033149172,1016.7234806629834
