day,time,centre,distance_to_oxford,filename,path,nan_fraction,date
4,11:00:00,"(57.787409499999995, 3.65878225)",7.784469509687557,MOD021KM.A2021308.1100.061.2021308193209.hdf,2021/11/04/MOD021KM.A2021308.1100.061.2021308193209.hdf,0.200008,2021-11-04
5,10:05:00,"(55.72255575, 16.46097125)",18.15810077704809,MOD021KM.A2021309.1005.061.2021309193359.hdf,2021/11/05/MOD021KM.A2021309.1005.061.2021309193359.hdf,0.254804,2021-11-05
6,10:50:00,"(49.8726395, 2.93870475)",4.59802226123176,MOD021KM.A2021310.1050.061.2021310193945.hdf,2021/11/06/MOD021KM.A2021310.1050.061.2021310193945.hdf,0.0,2021-11-06
7,09:55:00,"(47.64304274999999, 15.949150999999999)",17.690654341163548,MOD021KM.A2021311.0955.061.2021311193602.hdf,2021/11/07/MOD021KM.A2021311.0955.061.2021311193602.hdf,0.867036,2021-11-07
8,10:35:00,"(58.455591999999996, 10.206842000000002)",13.280582403352192,MOD021KM.A2021312.1035.061.2021312193622.hdf,2021/11/08/MOD021KM.A2021312.1035.061.2021312193622.hdf,0.477232,2021-11-08
9,11:20:00,"(52.6800335, -3.5594597499999994)",2.4818025956635443,MOD021KM.A2021313.1120.061.2021313194003.hdf,2021/11/09/MOD021KM.A2021313.1120.061.2021313194003.hdf,0.0,2021-11-09
10,10:25:00,"(50.55721125000001, 9.400146)",10.724607289632685,MOD021KM.A2021314.1025.061.2021315052916.hdf,2021/11/10/MOD021KM.A2021314.1025.061.2021315052916.hdf,0.0,2021-11-10
11,11:10:00,"(44.58379125, -3.73924275)",7.5855962918978355,MOD021KM.A2021315.1110.061.2021315193709.hdf,2021/11/11/MOD021KM.A2021315.1110.061.2021315193709.hdf,0.038544,2021-11-11
12,10:15:00,"(42.319033250000004, 9.381367000000001)",14.218671117129569,MOD021KM.A2021316.1015.061.2021316210914.hdf,2021/11/12/MOD021KM.A2021316.1015.061.2021316210914.hdf,0.312612,2021-11-12
13,10:55:00,"(53.345976, 2.9259424999999997)",4.477010616067628,MOD021KM.A2021317.1055.061.2021317194327.hdf,2021/11/13/MOD021KM.A2021317.1055.061.2021317194327.hdf,0.0,2021-11-13
14,10:00:00,"(51.222188, 15.86602925)",17.131923540065475,MOD021KM.A2021318.1000.061.2021318194716.hdf,2021/11/14/MOD021KM.A2021318.1000.061.2021318194716.hdf,0.5612,2021-11-14
15,10:45:00,"(45.26093375, 2.6836867499999997)",7.5939759398463105,MOD021KM.A2021319.1045.061.2021319194112.hdf,2021/11/15/MOD021KM.A2021319.1045.061.2021319194112.hdf,0.0,2021-11-15
16,11:25:00,"(56.17240525000001, -3.4013707500000003)",4.912769774641714,MOD021KM.A2021320.1125.061.2021320194331.hdf,2021/11/16/MOD021KM.A2021320.1125.061.2021320194331.hdf,0.0,2021-11-16
17,10:30:00,"(53.9955705, 9.412189750000001)",10.903217684042875,MOD021KM.A2021321.1030.061.2021321194427.hdf,2021/11/17/MOD021KM.A2021321.1030.061.2021321194427.hdf,0.0,2021-11-17
18,11:15:00,"(48.085040250000006, -3.9759022500000003)",4.564561017231022,MOD021KM.A2021322.1115.061.2021322193445.hdf,2021/11/18/MOD021KM.A2021322.1115.061.2021322193445.hdf,0.0,2021-11-18
19,10:20:00,"(45.91785, 9.108638)",11.8953045254312,MOD021KM.A2021323.1020.061.2021323195247.hdf,2021/11/19/MOD021KM.A2021323.1020.061.2021323195247.hdf,0.000248,2021-11-19
20,11:00:00,"(56.79884299999999, 3.1077524999999993)",6.672915389573371,MOD021KM.A2021324.1100.061.2021324194823.hdf,2021/11/20/MOD021KM.A2021324.1100.061.2021324194823.hdf,0.005468,2021-11-20
21,10:05:00,"(54.662946, 15.918650499999998)",17.421269273900972,MOD021KM.A2021325.1005.061.2021325194650.hdf,2021/11/21/MOD021KM.A2021325.1005.061.2021325194650.hdf,0.252028,2021-11-21
22,10:50:00,"(48.72872725, 2.4570522499999994)",4.789526323110944,MOD021KM.A2021326.1050.061.2021326193420.hdf,2021/11/22/MOD021KM.A2021326.1050.061.2021326193420.hdf,0.0,2021-11-22
23,11:30:00,"(59.46719300000001, -3.124456749999999)",7.937819838653411,MOD021KM.A2021327.1130.061.2021327194759.hdf,2021/11/23/MOD021KM.A2021327.1130.061.2021327194759.hdf,0.339204,2021-11-23
24,10:35:00,"(57.409841750000005, 9.61129275)",12.253414898206772,MOD021KM.A2021328.1035.061.2021331025124.hdf,2021/11/24/MOD021KM.A2021328.1035.061.2021331025124.hdf,0.240236,2021-11-24
25,11:20:00,"(51.58407275, -4.0643765)",2.811695669332799,MOD021KM.A2021329.1120.061.2021329194238.hdf,2021/11/25/MOD021KM.A2021329.1120.061.2021329194238.hdf,0.0,2021-11-25
26,10:25:00,"(49.352714500000005, 8.893904749999999)",10.4312822754795,MOD021KM.A2021330.1025.061.2021330193657.hdf,2021/11/26/MOD021KM.A2021330.1025.061.2021330193657.hdf,0.0,2021-11-26
27,11:10:00,"(43.34241425, -4.1850065)",8.904507613088184,MOD021KM.A2021331.1110.061.2021331194458.hdf,2021/11/27/MOD021KM.A2021331.1110.061.2021331194458.hdf,0.307744,2021-11-27
28,10:10:00,"(57.998804, 16.119649)",18.466045014626623,MOD021KM.A2021332.1010.061.2021332195003.hdf,2021/11/28/MOD021KM.A2021332.1010.061.2021332195003.hdf,0.43644,2021-11-28
29,10:55:00,"(52.19080675, 2.3849739999999997)",3.669008753617461,MOD021KM.A2021333.1055.061.2021333194822.hdf,2021/11/29/MOD021KM.A2021333.1055.061.2021333194822.hdf,0.0,2021-11-29
